country_code,year,value
4,2007,33.7
4,2011,38.3
4,2016,54.5
8,2002,25.4
8,2005,18.5
8,2016,23.7
8,2017,23.4
8,2018,23.0
8,2019,21.8
8,2020,22.0
12,2011,5.5
24,2018,32.3
31,2001,49.6
31,2007,15.8
31,2008,13.2
31,2009,10.9
31,2010,9.1
31,2011,7.6
31,2012,6.0
32,2016,30.3
32,2017,25.7
32,2018,32.0
32,2019,35.5
32,2020,42.0
32,2021,37.3
32,2022,39.2
32,2023,41.7
40,2002,13.2
40,2003,13.0
40,2004,12.6
40,2005,12.6
40,2006,12.0
40,2007,15.2
40,2008,14.5
40,2009,14.7
40,2010,14.5
40,2011,14.4
40,2012,14.4
40,2013,14.1
40,2014,13.9
40,2015,14.1
40,2016,14.4
40,2017,14.3
40,2018,13.3
40,2019,13.9
40,2020,14.7
40,2021,14.8
50,2022,18.7
51,2019,26.4
51,2020,27.0
51,2021,26.5
51,2022,24.8
56,2018,14.8
56,2019,14.1
56,2020,12.7
56,2021,13.2
56,2022,12.3
64,2022,12.4
68,2000,66.4
68,2001,63.1
68,2002,63.3
68,2004,63.1
68,2005,60.6
68,2006,59.9
68,2007,60.1
68,2008,57.3
68,2009,51.3
68,2011,45.1
68,2012,43.3
68,2013,38.9
68,2014,39.2
68,2015,38.6
68,2016,39.5
68,2017,36.4
68,2018,34.5
68,2019,37.2
68,2020,39.0
68,2021,36.4
68,2022,37.7
70,2007,18.2
70,2011,17.9
70,2015,16.9
72,2002,30.6
72,2009,19.3
72,2015,16.1
90,2005,22.7
90,2012,12.7
100,2015,22.9
100,2016,23.4
100,2017,22.0
100,2018,22.6
100,2019,23.8
100,2020,22.1
100,2021,22.9
100,2022,20.6
104,2005,48.2
104,2010,42.2
104,2015,32.1
104,2017,24.8
108,2020,51.0
112,2000,41.9
112,2001,28.9
112,2002,30.5
112,2003,27.1
112,2004,17.8
112,2005,12.7
112,2006,11.1
112,2007,7.7
112,2008,6.1
112,2009,5.4
112,2010,5.2
112,2011,7.3
112,2012,6.3
112,2013,5.5
112,2014,4.8
112,2015,5.1
112,2016,5.7
112,2017,5.9
112,2018,5.6
112,2019,5.0
112,2020,4.8
112,2021,4.1
112,2022,3.9
116,2003,50.2
116,2006,45.0
116,2008,34.0
116,2009,23.9
116,2010,22.1
116,2011,20.5
116,2012,17.7
120,2001,40.2
120,2007,39.9
120,2014,37.5
132,2001,56.8
132,2007,45.4
132,2015,35.2
140,2021,68.8
144,2002,46.8
144,2006,34.1
144,2009,28.4
144,2012,22.5
144,2016,16.0
144,2019,14.3
148,2018,42.3
148,2022,44.8
152,2000,36.0
